task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec,waiting_time_sec,time_in_system_sec
167,medium,13,13:17:34,13:17:34,13:18:23,COMPLETED,30587.0,0.8117,"0.94, f{(task.end_time - task.arrival_time_offset):.2f}"
157,medium,14,13:11:08,13:11:12,13:20:55,COMPLETED,30779.0,9.7171,"4.18, f{(task.end_time - task.arrival_time_offset):.2f}"
155,medium,13,13:24:14,13:24:15,13:24:27,COMPLETED,24646.0,0.2086,"1.43, f{(task.end_time - task.arrival_time_offset):.2f}"
173,medium,13,13:20:31,13:20:36,13:25:22,COMPLETED,36524.0,4.7619,"5.92, f{(task.end_time - task.arrival_time_offset):.2f}"
152,easy,12,13:24:16,13:24:21,13:26:17,COMPLETED,32261.0,1.9303,"5.63, f{(task.end_time - task.arrival_time_offset):.2f}"
158,easy,12,13:28:32,13:28:36,13:29:13,COMPLETED,29733.0,0.6119,"4.88, f{(task.end_time - task.arrival_time_offset):.2f}"
178,easy,12,13:29:26,13:29:31,13:29:37,COMPLETED,26365.0,0.1027,"5.79, f{(task.end_time - task.arrival_time_offset):.2f}"
138,hard,15,12:47:13,12:47:13,13:30:44,COMPLETED,34304.0,43.5167,"0.65, f{(task.end_time - task.arrival_time_offset):.2f}"
150,easy,12,13:36:08,13:36:11,13:36:54,COMPLETED,28133.0,0.7093,"3.78, f{(task.end_time - task.arrival_time_offset):.2f}"
177,easy,12,13:36:39,13:36:42,13:37:00,COMPLETED,26980.0,0.3050,"3.12, f{(task.end_time - task.arrival_time_offset):.2f}"
166,easy,11,13:37:18,13:37:18,13:37:42,COMPLETED,30921.0,0.4057,"0.55, f{(task.end_time - task.arrival_time_offset):.2f}"
156,easy,11,13:38:05,13:38:07,13:38:25,COMPLETED,26363.0,0.3044,"2.08, f{(task.end_time - task.arrival_time_offset):.2f}"
18,hard,16,08:26:18,08:26:20,13:41:45,COMPLETED,34042.0,315.4200,"2.29, f{(task.end_time - task.arrival_time_offset):.2f}"
168,easy,12,13:38:52,13:38:55,13:42:52,COMPLETED,32231.0,3.9453,"3.58, f{(task.end_time - task.arrival_time_offset):.2f}"
164,medium,14,13:30:05,13:30:08,13:44:35,COMPLETED,29381.0,14.4546,"3.20, f{(task.end_time - task.arrival_time_offset):.2f}"
171,medium,13,13:43:50,13:43:52,13:46:48,COMPLETED,32146.0,2.9324,"2.93, f{(task.end_time - task.arrival_time_offset):.2f}"
175,medium,13,13:43:38,13:43:40,13:49:50,COMPLETED,30979.0,6.1687,"2.75, f{(task.end_time - task.arrival_time_offset):.2f}"
179,easy,11,13:50:01,13:50:02,13:50:09,COMPLETED,20754.0,0.1025,"1.96, f{(task.end_time - task.arrival_time_offset):.2f}"
162,medium,14,13:43:26,13:43:28,13:52:40,COMPLETED,31211.0,9.2023,"2.58, f{(task.end_time - task.arrival_time_offset):.2f}"
161,easy,11,13:56:57,13:57:00,13:57:07,COMPLETED,24355.0,0.1027,"3.90, f{(task.end_time - task.arrival_time_offset):.2f}"
160,easy,11,13:57:23,13:57:25,13:57:49,COMPLETED,29116.0,0.4051,"2.19, f{(task.end_time - task.arrival_time_offset):.2f}"
151,easy,12,13:55:20,13:55:24,14:00:02,COMPLETED,32418.0,4.6482,"4.02, f{(task.end_time - task.arrival_time_offset):.2f}"
180,easy,11,14:01:51,14:01:52,14:01:58,COMPLETED,25552.0,0.1029,"1.04, f{(task.end_time - task.arrival_time_offset):.2f}"
182,easy,11,14:02:22,14:02:22,14:02:34,COMPLETED,30915.0,0.2058,"0.48, f{(task.end_time - task.arrival_time_offset):.2f}"
187,easy,11,14:02:25,14:02:28,14:02:46,COMPLETED,29613.0,0.3076,"3.60, f{(task.end_time - task.arrival_time_offset):.2f}"
96,hard,16,11:33:22,11:33:26,14:04:18,COMPLETED,36698.0,150.8669,"4.05, f{(task.end_time - task.arrival_time_offset):.2f}"
142,medium,14,12:54:02,12:54:06,14:05:00,COMPLETED,34835.0,70.9025,"4.41, f{(task.end_time - task.arrival_time_offset):.2f}"
208,easy,11,14:05:10,14:05:12,14:05:24,COMPLETED,26789.0,0.2032,"2.65, f{(task.end_time - task.arrival_time_offset):.2f}"
172,hard,15,13:11:51,13:11:54,14:06:19,COMPLETED,35199.0,54.4102,"3.66, f{(task.end_time - task.arrival_time_offset):.2f}"
153,medium,14,13:58:29,13:58:31,14:06:19,COMPLETED,23916.0,7.7914,"2.81, f{(task.end_time - task.arrival_time_offset):.2f}"
181,easy,11,14:07:44,14:07:49,14:08:02,COMPLETED,28695.0,0.2033,"5.90, f{(task.end_time - task.arrival_time_offset):.2f}"
185,easy,12,14:09:21,14:09:26,14:10:15,COMPLETED,37031.0,0.8077,"5.68, f{(task.end_time - task.arrival_time_offset):.2f}"
186,easy,12,14:11:02,14:11:03,14:11:27,COMPLETED,26146.0,0.4056,"1.52, f{(task.end_time - task.arrival_time_offset):.2f}"
189,medium,13,14:01:40,14:01:45,14:12:10,COMPLETED,34820.0,10.4047,"5.94, f{(task.end_time - task.arrival_time_offset):.2f}"
193,easy,12,14:11:52,14:11:52,14:12:22,COMPLETED,29792.0,0.5054,"0.00, f{(task.end_time - task.arrival_time_offset):.2f}"
200,easy,11,14:12:58,14:12:58,14:13:10,COMPLETED,27190.0,0.2035,"0.54, f{(task.end_time - task.arrival_time_offset):.2f}"
194,easy,11,14:19:06,14:19:07,14:19:19,COMPLETED,33213.0,0.2026,"1.15, f{(task.end_time - task.arrival_time_offset):.2f}"
