task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec
190,medium,14,17:30:15,-,-,IGNORED,-1,-1
183,medium,13,17:35:51,-,-,IGNORED,-1,-1
189,medium,14,17:39:52,-,-,IGNORED,-1,-1
192,medium,13,17:45:37,-,-,IGNORED,-1,-1
199,medium,14,17:51:54,-,-,IGNORED,-1,-1
187,medium,14,17:58:48,-,-,IGNORED,-1,-1
191,easy,12,17:36:02,-,-,IGNORED,-1,-1
197,easy,11,17:41:32,-,-,IGNORED,-1,-1
196,easy,11,17:45:14,-,-,IGNORED,-1,-1
186,easy,11,17:48:06,-,-,IGNORED,-1,-1
188,easy,11,17:54:40,-,-,IGNORED,-1,-1
193,easy,11,17:57:05,-,-,IGNORED,-1,-1
